,customer_id,date,value,age,sex
1299,1370,2023-01-10,70.3957882785437,28,M
2182,174,2023-01-11,75.73459477455384,40,F
2231,235,2023-01-11,87.94338998585859,32,M
2368,1275,2023-01-11,135.53797275561362,25,F
1459,1289,2023-01-11,80.1366893952667,32,M
198,1312,2023-01-11,104.41742078178366,29,M
3704,929,2023-01-11,148.2577605925939,26,F
2645,1138,2023-01-11,80.81977497018414,25,M
1590,847,2023-01-11,94.63541199328668,31,F
2346,1481,2023-01-12,101.47109509154873,26,F
1185,1412,2023-01-12,84.87381020218837,26,F
1611,179,2023-01-12,115.24172056930199,27,M
1919,1213,2023-01-12,103.22488252409485,31,F
931,1050,2023-01-12,120.75520068766096,23,M
1460,856,2023-01-12,157.62205454042714,33,M
4666,80,2023-01-12,120.58781416345411,26,F
2614,323,2023-01-13,83.70662427144912,49,M
4587,1407,2023-01-13,113.89092051442367,22,M
2106,738,2023-01-13,96.5245973269925,28,F
1248,278,2023-01-13,141.35371183596965,23,F
3516,1087,2023-01-13,102.01731305033225,25,F
15,1278,2023-01-13,94.29490231852982,37,F
2312,768,2023-01-13,126.24321494540791,30,M
3746,924,2023-01-13,95.50206996915523,28,M
2093,353,2023-01-13,155.54578181188705,23,F
2017,1076,2023-01-13,112.49853414856616,37,M
1367,1434,2023-01-13,89.79464480271233,32,F
2794,78,2023-01-13,114.23555110560233,31,F
1634,472,2023-01-13,135.69100538034138,23,F
2883,241,2023-01-13,150.4347735353261,41,M
2937,699,2023-01-13,78.36714774843662,29,M
4261,787,2023-01-13,78.38318471391383,35,F
2066,594,2023-01-13,129.14512598411665,38,M
3137,1035,2023-01-14,98.0754717087884,28,F
495,124,2023-01-14,83.87366574937779,21,M
585,947,2023-01-14,88.87216254587467,26,M
710,646,2023-01-14,119.19474358668818,28,F
2310,663,2023-01-14,163.49567043848833,31,M
335,70,2023-01-14,116.6129668756736,24,M
4009,861,2023-01-14,89.7550146113384,29,F
1435,892,2023-01-14,58.72969795459231,40,F
1947,983,2023-01-14,117.58751310708789,34,F
3762,1415,2023-01-14,148.77916658169954,28,M
3768,598,2023-01-14,168.1349854452206,22,M
1951,894,2023-01-14,79.08108652359545,31,F
739,265,2023-01-15,106.6335878076925,25,F
1128,1389,2023-01-15,99.21613274962178,29,F
4480,546,2023-01-15,87.19537216461514,25,F
4322,914,2023-01-15,122.31621258696258,46,F
213,1193,2023-01-15,87.85997615867643,28,F
1438,1154,2023-01-15,82.45775888895398,33,M
3630,427,2023-01-15,103.4303703277445,29,M
3346,1167,2023-01-15,183.0638606380236,25,F
2838,1495,2023-01-15,170.44697814317175,32,M
3564,826,2023-01-15,87.36490798669465,23,F
3739,135,2023-01-15,161.7778667534089,34,M
3138,751,2023-01-15,196.36964326267352,23,F
2615,73,2023-01-16,95.45457300794324,30,F
4344,1308,2023-01-16,112.45891642267549,19,M
490,792,2023-01-16,77.21160634914162,23,M
1295,409,2023-01-16,121.16664390336138,38,M
1297,1250,2023-01-16,130.31363089214,28,F
2055,746,2023-01-16,91.05081499105178,51,F
129,130,2023-01-16,71.96162150124111,26,F
4687,1398,2023-01-16,201.5978011413475,23,F
266,617,2023-01-16,115.1155067450714,28,M
189,413,2023-01-16,84.17681487164396,26,M
116,279,2023-01-16,75.05010405986522,26,M
197,1072,2023-01-16,112.04246725631685,28,M
4112,2,2023-01-16,127.81179565679906,54,M
1102,516,2023-01-17,101.19487580400225,42,F
4433,418,2023-01-17,150.99287212048213,22,M
2361,249,2023-01-17,63.91795653542825,26,F
1051,1315,2023-01-17,141.49036254811728,26,F
3864,490,2023-01-17,117.70034233425932,29,M
1374,460,2023-01-17,84.91603205423681,32,F
1115,1472,2023-01-17,132.82689904052108,24,M
975,394,2023-01-17,98.15624845888297,29,M
3919,696,2023-01-17,171.95950852063174,28,F
1618,336,2023-01-17,78.23408800168164,34,M
3867,902,2023-01-17,70.69153985464219,20,M
1086,1092,2023-01-17,109.79049742471,25,F
1119,498,2023-01-17,63.2100375999064,36,M
2472,1000,2023-01-18,162.41523851608906,27,F
4341,1492,2023-01-18,124.29784240665181,38,M
4946,37,2023-01-18,120.10165987367648,45,F
4544,1427,2023-01-18,94.91696769821489,34,M
3143,1270,2023-01-18,85.44743594220944,22,F
2795,428,2023-01-18,119.33682235242769,28,M
1239,1429,2023-01-18,148.24501973198417,24,F
819,1025,2023-01-18,47.48283236251217,24,M
2168,1308,2023-01-18,169.73107579949374,19,M
2279,940,2023-01-18,91.04437223868202,32,M
4044,686,2023-01-18,130.8877693820294,33,M
4505,1052,2023-01-19,132.15582458522317,26,F
1871,1152,2023-01-19,129.90030121714543,33,F
2604,914,2023-01-19,107.77691824381468,46,F
4000,1063,2023-01-19,129.68410762214722,33,F
4348,518,2023-01-19,158.42944955948005,34,M
2984,1221,2023-01-19,143.09313377500968,22,F
3037,1492,2023-01-19,212.06752799637712,38,M
1671,1183,2023-01-19,66.85619686668511,26,F
2419,1108,2023-01-19,134.16068238456563,26,M
1191,174,2023-01-19,61.31423206948448,40,F
4130,794,2023-01-19,137.35020792791346,20,F
2435,1282,2023-01-19,129.31054741174043,23,F
395,999,2023-01-20,98.82162089587794,29,F
3084,1470,2023-01-20,80.91142853871588,24,F
3922,1466,2023-01-20,164.3750362598459,32,M
4943,0,2023-01-20,164.24588816486343,28,M
1195,1243,2023-01-20,115.26347817446381,32,M
1282,343,2023-01-20,125.02322300593403,30,M
4773,1080,2023-01-20,114.42855965506782,29,M
1338,722,2023-01-20,124.9193007992443,23,M
3258,405,2023-01-20,78.63853882917972,22,M
823,18,2023-01-20,89.02690205425121,24,F
3354,1014,2023-01-20,76.07084683650564,37,M
3166,432,2023-01-21,86.63832160566541,19,M
4476,612,2023-01-21,150.347197918933,22,M
4485,910,2023-01-21,134.5648931642212,30,F
1390,332,2023-01-21,108.306894208376,27,F
1411,1133,2023-01-21,115.85797940414831,31,M
2111,375,2023-01-21,166.56748639178778,24,F
401,715,2023-01-21,140.10226022830824,30,F
3033,1002,2023-01-21,132.17566355343882,28,F
4673,273,2023-01-21,165.582932201838,38,F
2705,114,2023-01-21,118.33498385563219,29,M
3797,1458,2023-01-21,77.61573695507192,28,F
3151,559,2023-01-21,103.7190049379285,30,F
1794,1267,2023-01-21,111.95282851069399,25,M
2148,611,2023-01-22,187.5115579365926,25,M
3983,602,2023-01-22,128.05623626512346,21,M
2035,1102,2023-01-22,101.07263988098867,23,F
40,627,2023-01-22,107.96144563772418,27,F
1132,666,2023-01-22,104.797784963027,19,F
1678,1272,2023-01-22,79.05595162064381,24,M
4040,363,2023-01-22,98.92018485913665,29,F
1280,474,2023-01-22,81.34675585299664,22,M
970,345,2023-01-22,118.42369258972379,35,M
4720,1340,2023-01-22,67.8955695098031,26,M
3142,879,2023-01-22,80.35192199365088,33,M
4029,661,2023-01-23,104.80839184090874,51,F
494,551,2023-01-23,145.60048286006887,21,M
3834,265,2023-01-23,91.16657052529064,25,F
2866,477,2023-01-23,121.20208517777857,26,F
2336,660,2023-01-23,93.60774471671853,25,F
3625,546,2023-01-23,138.23398052238494,25,F
932,963,2023-01-23,113.19329137201719,25,F
3786,532,2023-01-23,98.4047162123437,29,M
2836,22,2023-01-23,79.8017708575516,21,F
446,704,2023-01-23,134.21724199377246,31,M
432,1493,2023-01-23,86.54271376321667,26,F
2483,722,2023-01-23,95.31840079886257,23,M
91,695,2023-01-23,110.26981288706031,34,F
1169,781,2023-01-23,79.2651772259439,27,F
4793,659,2023-01-23,118.58766146153764,30,F
4723,443,2023-01-24,75.80203072337167,27,F
3565,635,2023-01-24,145.48150966613707,19,F
4861,913,2023-01-24,93.76079194644306,34,F
482,914,2023-01-24,76.52111745228015,46,F
1362,843,2023-01-24,73.4491457149174,31,F
4652,531,2023-01-24,112.93219193673282,22,M
2388,934,2023-01-24,123.46740711411752,26,M
143,630,2023-01-24,142.95006734692265,27,M
2366,935,2023-01-24,82.87868391938693,32,F
2390,319,2023-01-24,99.5783794937571,33,F
1364,1370,2023-01-24,199.5232102404502,28,M
3932,1087,2023-01-24,73.25012651308052,25,F
3599,1085,2023-01-24,68.73955443416295,43,F
2175,38,2023-01-24,168.63859519813934,22,M
777,875,2023-01-24,97.07806341223622,29,M
4176,539,2023-01-24,131.06015115589784,21,F
1569,550,2023-01-24,93.37642560651128,19,F
225,666,2023-01-25,103.18912739820985,19,F
473,836,2023-01-25,119.61511369065315,28,M
3319,166,2023-01-25,139.823592466781,28,F
2455,835,2023-01-25,113.14578727197352,33,F
1293,322,2023-01-25,91.82683379408316,34,M
782,928,2023-01-25,83.33995771559816,34,F
2910,849,2023-01-25,89.12257126600016,31,M
1839,334,2023-01-25,162.74297596338292,33,F
4311,1467,2023-01-25,81.08225454557311,27,M
1490,384,2023-01-25,125.04588492177326,36,F
3469,153,2023-01-25,198.3478397399111,30,M
1497,1212,2023-01-25,102.12332535326408,27,F
2852,621,2023-01-25,129.77632655224738,29,M
1450,754,2023-01-25,88.36441227559637,17,F
785,545,2023-01-25,138.806825001285,31,M
3836,1163,2023-01-26,119.92015922214313,30,M
3284,289,2023-01-26,131.9741757030332,24,M
3435,564,2023-01-26,98.7378427306892,25,M
3846,375,2023-01-26,106.36245989970563,24,F
3025,77,2023-01-26,105.5280230823359,33,F
1020,10,2023-01-26,229.03326702657913,43,M
98,469,2023-01-26,70.48293722368169,27,M
769,798,2023-01-26,145.06922035376363,40,F
1940,1362,2023-01-26,82.39012061261312,23,F
1384,629,2023-01-26,95.14953086720952,26,F
4732,898,2023-01-26,94.85211647395558,30,F
3616,1077,2023-01-26,188.23340409933314,46,F
2636,1241,2023-01-26,67.24108135782133,49,F
1648,49,2023-01-26,129.66415440408463,32,F
2904,777,2023-01-26,120.15391747492704,27,F
3295,832,2023-01-27,137.73471258277587,23,M
394,217,2023-01-27,108.70070995488247,25,M
4550,59,2023-01-27,83.76210616682414,29,F
462,721,2023-01-27,176.9679043977287,25,F
2898,926,2023-01-27,86.28054111973579,40,F
1148,663,2023-01-27,99.79029013695421,31,M
3531,1378,2023-01-27,69.31638526140551,22,M
1407,44,2023-01-27,68.39062626741337,36,F
4829,887,2023-01-28,99.56690062731852,34,F
368,212,2023-01-28,98.02661009092357,33,M
2002,101,2023-01-28,144.30882186636418,32,F
307,423,2023-01-28,84.11259358637655,35,F
4256,817,2023-01-28,136.48993386939662,36,M
1249,1464,2023-01-28,123.93395965485595,22,M
2001,628,2023-01-28,162.68235566993,28,M
2421,135,2023-01-28,117.13713632450902,34,M
4179,966,2023-01-28,90.86832312595729,24,M
1656,1283,2023-01-28,145.32762608665928,26,F
2533,1440,2023-01-28,87.7220027412076,43,M
252,1212,2023-01-29,118.4292330681111,27,F
1854,513,2023-01-29,101.89072984826032,21,F
1425,750,2023-01-29,121.34423825663832,24,M
4525,885,2023-01-29,163.81301906726412,33,F
1238,746,2023-01-29,201.53245141390946,51,F
626,196,2023-01-29,143.3630375459089,33,F
3146,856,2023-01-29,61.10104510629628,33,M
531,1445,2023-01-29,96.80551188436556,22,M
757,106,2023-01-29,156.50113093009378,24,M
2481,819,2023-01-29,98.87038552243536,24,F
2184,807,2023-01-29,69.26031299998381,30,F
3378,1013,2023-01-29,109.03876084479894,26,F
2921,1425,2023-01-29,115.94298816568207,25,M
2337,711,2023-01-29,73.94801981574852,33,M
4062,1080,2023-01-30,88.18152515283413,29,M
4211,1120,2023-01-30,73.03524579305548,30,M
3744,892,2023-01-30,86.87312430152804,40,F
1127,1212,2023-01-30,75.30418859909338,27,F
3261,300,2023-01-30,74.69702797167741,32,M
261,1254,2023-01-30,78.9252115029939,34,M
3557,339,2023-01-30,106.92289906845343,40,F
1583,1254,2023-01-30,191.90991057306167,34,M
2715,1049,2023-01-31,114.67469221745705,21,F
3066,934,2023-01-31,99.51488664184606,26,M
4931,1001,2023-01-31,114.13994884109624,34,M
4827,1353,2023-01-31,85.45568022930206,23,M
2452,190,2023-01-31,77.83448856810787,29,F
230,1077,2023-01-31,121.72028677158207,46,F
920,515,2023-01-31,116.5513877084799,19,M
989,482,2023-01-31,119.104432059212,36,M
3127,346,2023-01-31,85.19857509220984,22,M
1927,591,2023-01-31,190.24075279366033,27,M
3838,963,2023-01-31,115.98000963643851,25,F
1445,52,2023-01-31,82.35846022926836,26,F
1808,92,2023-01-31,167.91634592879927,22,M
3285,760,2023-02-01,135.45889594138637,23,F
356,365,2023-02-01,81.34981646978562,25,M
1467,1460,2023-02-01,103.26616175991947,28,M
3525,476,2023-02-01,112.17679991540311,34,M
4932,17,2023-02-01,127.06106215820125,31,F
4434,1195,2023-02-01,157.40784829762697,23,M
1176,1273,2023-02-01,128.44238658606935,23,M
3764,1459,2023-02-01,84.51884816678533,23,F
4936,485,2023-02-01,69.47149935481563,27,M
3677,235,2023-02-01,150.27822651552952,32,M
767,896,2023-02-01,84.61200475323415,29,F
4706,403,2023-02-01,76.01158395229044,38,M
378,848,2023-02-01,76.0752534128865,25,M
4400,1477,2023-02-01,100.82020533599442,28,F
3219,1088,2023-02-01,73.2214373898922,25,F
4410,1110,2023-02-01,120.26630125392813,27,M
191,843,2023-02-02,106.17387174499962,31,F
3892,709,2023-02-02,85.71184415696808,28,M
3985,1057,2023-02-02,57.84041252947951,29,F
4824,393,2023-02-02,140.64753396179358,21,F
326,338,2023-02-02,76.99473904648976,30,M
1335,698,2023-02-02,78.85781479227504,32,M
365,1182,2023-02-02,59.1912137427219,23,M
1967,1280,2023-02-02,94.58566030983093,67,F
1348,430,2023-02-02,99.46082015674975,43,F
4291,1333,2023-02-02,82.87182895096285,25,M
521,174,2023-02-02,130.0200919304174,40,F
4499,1273,2023-02-02,144.8663948117267,23,M
1603,1317,2023-02-03,95.9509549060965,48,M
2371,647,2023-02-03,118.92539402372746,30,F
1319,988,2023-02-03,71.46329063271688,26,F
2153,1297,2023-02-03,94.67849516271593,28,M
667,213,2023-02-03,73.3742674875692,32,M
3003,1479,2023-02-03,118.78390378008335,47,M
3749,240,2023-02-03,101.14337265500693,48,F
44,542,2023-02-03,117.46397758109228,25,M
284,440,2023-02-03,131.93991247792425,23,M
1637,0,2023-02-03,98.05952114891966,28,M
4807,53,2023-02-04,131.10064381735538,28,M
539,394,2023-02-04,100.98586395390211,29,M
3010,1491,2023-02-04,189.75006269901309,25,M
4615,1441,2023-02-04,102.84091518327679,19,M
3282,167,2023-02-04,87.76220202124108,24,F
3248,723,2023-02-04,94.88160382131679,24,M
1161,1092,2023-02-04,87.00436913245132,25,F
1202,262,2023-02-04,117.60416944983385,24,F
4329,821,2023-02-04,120.82812765908973,20,M
4288,18,2023-02-04,110.09277028977303,24,F
4483,304,2023-02-04,131.11585388399442,26,M
937,1153,2023-02-05,111.38155735873505,21,F
2881,1197,2023-02-05,126.07506678860202,28,M
2524,1445,2023-02-05,124.23490096240045,22,M
4484,265,2023-02-05,80.93494013102726,25,F
2423,524,2023-02-05,109.81830761195391,25,M
1271,121,2023-02-05,100.71125173647928,27,M
2844,681,2023-02-05,228.22637238457338,22,F
2497,1440,2023-02-06,81.80859385073504,43,M
2512,166,2023-02-06,110.62818018892767,28,F
2376,503,2023-02-06,103.10736460492771,30,M
1694,489,2023-02-06,105.48673043229357,27,F
2209,1414,2023-02-06,75.24669636605353,22,M
2748,1490,2023-02-06,100.52306807963922,36,M
1531,352,2023-02-06,97.77534943811415,28,F
1539,64,2023-02-06,98.48360104072569,24,F
2884,821,2023-02-06,126.4949756331917,20,M
3422,1158,2023-02-06,128.7614700865534,29,M
1528,323,2023-02-06,91.0621446903372,49,M
4435,1001,2023-02-06,75.18736710804342,34,M
2958,166,2023-02-06,191.10792854606458,28,F
2995,276,2023-02-06,148.655212844327,23,M
3060,1318,2023-02-06,102.95866873631768,29,M
1284,1304,2023-02-06,128.73127242079562,29,M
1261,131,2023-02-06,92.03029520803571,29,F
3578,1110,2023-02-06,72.78811435379171,27,M
2338,155,2023-02-06,117.33129709756314,28,F
0,1061,2023-02-06,171.97212165434462,26,F
919,1319,2023-02-07,238.65582197449305,27,F
1727,1115,2023-02-07,141.10607181946875,24,F
3549,470,2023-02-07,117.38573372847316,26,M
1783,948,2023-02-07,65.61906283903616,28,M
3328,223,2023-02-07,143.6502939420437,37,M
4247,425,2023-02-07,106.68781853919802,28,F
2385,105,2023-02-07,142.60887047082846,35,M
1835,1397,2023-02-07,112.22204187734178,35,M
68,999,2023-02-07,102.25934528407657,29,F
2394,1046,2023-02-07,105.5196919196106,32,F
4899,355,2023-02-07,119.15377685292395,26,M
4058,912,2023-02-07,149.00264873125812,25,F
3788,1003,2023-02-07,117.30876960703142,33,F
4817,422,2023-02-07,230.3009724367128,34,F
3171,1091,2023-02-07,112.54502890903146,29,F
3992,1227,2023-02-07,86.96785034046835,29,M
3272,137,2023-02-07,132.69628895005374,22,F
3961,302,2023-02-08,65.09426466486529,24,F
4144,1313,2023-02-08,117.33625402149399,32,M
1770,1034,2023-02-08,115.12744239215874,22,M
3734,1148,2023-02-08,72.5972405839542,23,F
3085,1462,2023-02-08,96.44314721212648,24,M
4455,625,2023-02-08,172.0912318917387,32,F
1816,672,2023-02-08,83.3226890115019,25,F
2125,1072,2023-02-08,85.76432012083728,28,M
4360,999,2023-02-08,152.9091446077282,29,F
4028,51,2023-02-08,64.57162892563446,43,F
3730,1101,2023-02-08,78.41280095137209,30,F
245,1111,2023-02-08,81.89261793104936,31,F
3416,184,2023-02-08,105.87156664543083,29,M
3640,716,2023-02-08,113.00551731458992,20,F
3193,41,2023-02-08,82.38844779612025,32,M
2140,1186,2023-02-09,103.97169955569493,29,M
318,1434,2023-02-09,96.06127000680999,32,F
2301,401,2023-02-09,115.57837107094431,30,F
885,1160,2023-02-09,85.71052638163385,31,F
1101,819,2023-02-09,104.23226978402056,24,F
1232,659,2023-02-09,84.34248793767344,30,F
3943,25,2023-02-09,195.594028247982,24,F
3523,81,2023-02-09,184.0311314829353,30,F
3968,844,2023-02-09,89.834100625655,38,M
456,645,2023-02-09,58.962117306205876,24,F
3681,46,2023-02-09,117.39612543053597,25,F
3061,1165,2023-02-09,74.30271905243576,29,M
1026,1371,2023-02-09,173.46296928188863,21,M
403,794,2023-02-10,130.96491337213604,20,F
2546,1192,2023-02-10,100.67257880362715,31,F
960,850,2023-02-10,93.73756718779839,25,M
2298,849,2023-02-10,137.5274267395749,31,M
1607,1262,2023-02-10,102.59114228129783,23,F
584,747,2023-02-10,91.90560400338109,33,F
1614,1320,2023-02-10,114.54884670766089,21,F
3878,833,2023-02-10,100.62854988266477,27,M
2981,1311,2023-02-10,87.30548529669261,30,F
185,1346,2023-02-10,114.34289435146337,24,F
1514,1393,2023-02-10,121.2108379882221,27,M
2661,1263,2023-02-10,98.48725122711639,30,M
1558,1017,2023-02-10,92.89580740392134,28,M
2713,105,2023-02-10,102.92517917647399,35,M
1183,349,2023-02-10,92.8982209661575,44,F
1970,1284,2023-02-10,107.36486337994086,24,M
4911,63,2023-02-10,135.50287080589297,27,M
122,1217,2023-02-10,103.46733073827693,29,M
268,1280,2023-02-11,132.55798298682322,67,F
828,1491,2023-02-11,103.86525190258422,25,M
680,66,2023-02-11,74.88211670424563,27,M
922,565,2023-02-11,118.60709824697429,23,M
2280,444,2023-02-11,113.80492967931139,30,M
3298,1093,2023-02-11,76.55539555706892,26,M
3269,1370,2023-02-11,125.69457224891609,28,M
4475,1110,2023-02-11,71.9344088173857,27,M
4713,661,2023-02-11,103.31636545761054,51,F
3718,1281,2023-02-11,96.22692838703044,30,F
1078,1346,2023-02-11,92.03930057984135,24,F
4643,122,2023-02-11,98.8198922132458,23,M
3729,121,2023-02-11,118.35692216307845,27,M
4520,430,2023-02-11,124.24809935390861,43,F
4832,960,2023-02-12,91.46784383503636,21,F
3063,1139,2023-02-12,88.7345154481917,23,F
2509,406,2023-02-12,74.98111333887248,25,F
4759,777,2023-02-12,65.3043192132177,27,F
3030,590,2023-02-12,102.66988697671185,24,F
388,1042,2023-02-12,118.84176878506399,35,M
1380,727,2023-02-12,144.44730621105015,27,M
1920,1093,2023-02-12,118.161609896615,26,M
1307,1320,2023-02-12,107.15095198199654,21,F
2466,1352,2023-02-12,88.82047309138957,48,M
1812,1251,2023-02-12,106.49212354642407,39,M
537,988,2023-02-12,145.9012663210497,26,F
3572,1374,2023-02-12,79.38006961293716,32,F
3813,1451,2023-02-12,180.65161347881377,22,F
697,291,2023-02-12,106.43023613085902,28,M
4754,1423,2023-02-13,75.30557124824924,33,M
2427,788,2023-02-13,91.57089462996763,21,F
4108,1205,2023-02-13,139.19227560574797,37,F
2672,26,2023-02-13,117.94995388231888,29,F
1575,832,2023-02-13,122.90286913470143,23,M
2038,1292,2023-02-13,113.94093684279802,25,M
4690,1146,2023-02-13,45.49804763003466,23,M
